번호,문제,답
277,"28.  차량  공유  업체인‘  우버’가  선보인  합승  서비스다.  출퇴근  시간에만  제공한다.  우버가  출시한  합승  서비스‘  우버풀
(UberPOOL)’을  합리적  가격으로  출퇴근  시간에  맞게  재설계한  서비스다.  미국  시애틀에서  2015년  11월  시범  서비스를
시작했다.  이  서비스의  이름은?",우버홉
278,"29.  고정된  비밀번호  대신  무작위로  생성한  비밀번호로  사용자를  인증하는  방법으로,  보안을  강화하려고  도입한  시스템
이다.  로그인  할  때마다  일회성  비밀번호를  생성한다.  동일한  비밀번호가  사용되지  않아  보안을  강화할  수  있다.  주로  전
자금융  거래에서  사용되는  비밀번호를  이르는  말은?",일회용  비밀번호(OTP)
279,30.  미국  전기자동차업체‘  테슬라(Tesla)’의  자율주행  시스템의  명칭은?,테슬라  오토파일럿(Tesla  Autopilot)
280,"31.  지식재산권  용어로,  디자인  특허  중  하나다.  상품  외관이나  포괄적이고  시각적인  이미지를  형성하는  모양과  크기,  빛
깔  등을  가리킨다.  삼성의  스마트폰이  아이폰의  디자인을  모방했다는  애플의  소송을  계기로  유명해졌다.  이  용어는?",트레이드  드레스  (Trade  Dress)
281,"32.  정치·사회적  목적을  달성하기  위해  해킹하거나  목표물인  서버  컴퓨터를  무력화하는  기술을  만드는  운동이다‘.  해킹
(Hacking)’과  정치행동주의를  뜻하는‘  액티비즘(Activism)’의  합성어다.  이를  이르는  말은?",핵티비즘(Hacktivism)
282,"33.  프로그램의  진행에  전혀  영향을  주지  않는  코드로,  프로그램을  설명하는  데  사용합니다.  파이썬은  ‘#’  기호를  붙여  처
리  합니다.  이를  이르는  말은?",주석(comment)
283,"34.  파이썬에서  버튼  등의  위젯과  윈도우  등  이미지  드로잉,  애니메이션을  만들어내는  데  사용되는  유용한  메서드  제공
하는  모듈은?",tkinter
284,35.  파이썬에서  비교  문장이  True  값을  반환하는  동안  계속  반복하는  반복문의  종류는?,while  반복
285,"36.  파이썬에서  제공하는  자료형으로  모든  유형의  값을  원소로  추가,  삭제  할  수  있으며,  튜플과  유사하게  인덱스  값은  0
부터  시작하는  자료형은?",리스트
286,37.  파이썬에서  클래스  안의  함수를  부르는  이름은?,메서드
287,38.  파이썬에서  다른  프로그램에서  사용할  수  있는  기능이  저장되어  있는  파이썬  파일의  집합을  부르는  용어는?,모듈
288,39.  파이썬에서  정렬되어  있지  않은  컨테이너  자료형으로  서로  다른  키와  값의  짝  형태로  데이터를  저장하는  자료형은?,딕셔너리
289,40.  프로그램의  모든  곳에서  사용  가능한  변수를  이르는  말은?,전역변수
290,41.  함수  내에서  정의된  변수로  그  함수  내부에서만  사용  가능한  변수를  이르는  말은?,지역변수
291,"42.  0과  1의  두  숫자를  조합하여  값을  나타내는  수  체계로,  컴퓨터에  의해  처리되는  정보의  최소  단위는?",비트  2진수
292,"43.  TCP/IP  네트워크  사이에서  IP  패킷을  라우팅하거나  전달할  수  있는  여러  개의  실제  TCP/IP  네트워크에  연결된  장치
입니다.  이것은  서로  다른  전송  프로토콜이나  IPX  및  IP와  같은  데이터  형식  간의  변환을  담당하며  주로  이  변환  기능  때
문에  네트워크에  추가됩니다.  이것은  무엇일까요?",게이트웨이
293,"44.  한  컴퓨터에  저장된  여러  파일과  다른  컴퓨터에  저장된  여러  버전의  파일  간의  차이점을  조정하는  것입니다.  차이점
이  발견되면  두  파일  세트가  모두  업데이트되도록  하는  과정을  무엇이라고  하나?  동기화",Synchronize
294,"45.  인터넷  환경에서  여러  LAN과  WAN이  상호  운용되고  연결되도록  해  주며  이더넷과  토큰링과  같은  각기  다른  네트워
크  토폴로지를  가진  LAN들을  연결할  수  있는  하드웨어는?",라우터
295,"46.  하드  디스크,  플로피  디스크,  CD-ROM  디스크,  RAM과  같은  컴퓨터  저장소를  이르는  용어는?",메모리
296,"47.  외부에서  내부  네트워크나  인트라넷에  인증  없이  액세스하지  못하도록  하기  위해  보안  시스템을  제공하는  하드웨어
와  소프트웨어  조합입니다.  네트워크  외부의  프록시  서버를  통해  통신을  라우팅하여  네트워크와  외부  컴퓨터  간의  직접
적인  통신이  이루어지지  않게  합니다.  이것을  말하는  용어는?",방화벽
297,"48.  응용  프로그램의  데이터  영역과  입/출력  장치  같은  두  위치  사이에  아직  전송되지  않아  임시로  유지되는  데이터에
사용하도록  예약된  RAM  영역을  이르는  말은?",버퍼
298,"49.  point-to-point  링크를  사용하여  멀티프로토콜  데이터그램을  전송하는  업계  표준의  프로토콜입니다.  RFC  1661  문서
에서  설명하고  있는  프로토콜은?",지점간  프로토콜(PPP)
299,"50.  인터넷상의  두  컴퓨터  사이에서  파일을  복사하는  데  사용되는  TCP/IP  프로토콜의  구성  요소입니다.  한  컴퓨터는  클
라이언트,  다른  하나는  서버  역할을  지원해야  하는  프로토콜은?",파일  전송  프로토콜(FTP)
300,Q1.  1세대의  초창기;  프로그래밍  언어로  기계어와  일대일  대응을  하는  언어는  무엇인가?,어셈블리어
301,"Q2.  2세대의  프로그래밍  언어이자  최초의  고급언어로  수식  계산에  특화  되어  있고  이름의  뜻이  수식  변환기의  뜻을  가
지고  있는  언어는  무엇인가?",포트란(FORmular  TRANslator)
302,Q3.  고급  언어로  작성된  프로그램을  컴퓨터가  이해할  수  있는  기계어로  바꾸어  주는  번역  프로그램은  무엇인가?,컴파일러
303,"Q4  프로그래밍  언어의  소스  코드를  한  줄씩  바로  해석하며  실행하는  컴퓨터  프로그램  또는  환경을  말하는  것은  무엇인
가?",인터프리터
304,Q5.  베이직이라는  프로그래밍  언어가  최종적으로  발전하여  오늘날에  사용되고  있는  프로그래밍  언어는  무엇인가?,비주얼  베이직(visual  basic)
305,"Q6.  미국  마이크로소프트  사가  개발한  편집기(Editor)  +컴파일러(Compiler)  +디버거(Debugger)등을  포함하고  있는  통
합  개발  환경  도구는  무엇인가?","IDE(Integrated  Development
Environment)"
306,"Q7.  모든  프로그래밍  방법을  객체(Object)로  설정하여  이것을  운용하는  방식으로  설계하는  언어들을  무엇이라고  말하는
가  ?","객체지향  언어(OOL:Object  Oriented
Language)"
307,Q8.  프로그래밍  언어  중  객체  지향  언어의  대표적인  언어는  무엇이  있는가?,"C++,Java"
308,"Q9.  작업  처리과정을  단계적으로  명시하여  위에서  아래로  정해진  절차(순서)대로  실행이  되는  형태의  언어를  무엇이라
고  말하는가  ?","절차지향  언어(POL:Procedure  Oriented
Language)"
309,Q10.  프로그래밍  언어  중  절차  지향  언어의  대표적인  언어는  무엇이  있는가  ?,C언어
310,Q11.  프로그래머가  데이터베이스를  정의하고  다루기  위한  표준형  언어는  무엇인가?,SQL  (Structured  Query  Language)
311,"Q12.  Java의  특성  중  일부만을  제공하며,  대화형  웹  페이지를  만들  때  이용되는  프로그래밍  언어는  무엇인가  ?",자바  스크립트(Java  Script)
312,Q13.  프로그래밍에서  잘못된  부분을  찾아  고치는  작업을  무엇이라  말하는가?,디버깅
313,"Q14.  프로그래밍  문법에서  값을  저장하는  박스이자  숫자나  문자열과  같은  데이터를  저장할  수  있는  공간을  무엇이라  말
하는가?",변수(variable)
314,"Q15.  프로그래밍  언어  중  최근에  들어  가장  대중화  되었으며  쉽고  간단하며  다양한  라이브러리를  무료로  활용이  가능한
프로그래밍  언어는  무엇인가  ?",파이썬(Python)
315,Q16.  파이썬  문법  중  숫자  연산자에서  나머지  연산자는  무엇인가?,%
316,"Q17.  프로그래밍에  있어  내용을  메모하는  목적으로  쓰이며  소스  코드를  더  쉽게  이해할  수  있게  만드는  것이  주  목적인
것은  무엇인가?",주석  혹은  코멘트
317,"Q18.  객체지향  언어  특징  중  부모  클래스가  가지고있는  모든  것을(생성자  제외)  자식클래스가  물려받아  같이  공유하며
나아가  확장(extends)하는  개념을  무엇이라  하는가?",상속(Inheritance)
318,"Q19.  객체지향  언어  특징  중  객체들의  공통적인  특징(속성  과  기능)을  뽑아내는  것으로  우리가  구현하는  객체들이  가진
공통적인  데이터와  기능을  도출해  내는  개념을  무엇이라  하는가?",추상화(Abstraciton)
319,"Q20.  프로그래밍  에서  코드를  읽기  쉽도록  일정한  간격을  띄워서  작성하는  방법으로  여러  언어에서  필수  문법으로  사용
되는  이것은  무엇인가?",들여쓰기(indentation)
320,Q21.  파이썬이나  JAVA에서  사용되는  논리  연산자의  종류  3가지는  어떠한  것들이  있는가?,"OR연산자,  AND연산자,  NOT연산자"
321,Q22.  C언어에서  사용되는  반복문의  종류  3가지는  어떠한  것들이  있는가?,"for,  while,  do~while"
322,"Q23.  파이썬에서  배열이라고  부르는  리스트와  달리  한번  생성되면  크기나  요소가  변경할  수  없는  읽기  전용의  리스트를
무엇이라고  하는가?",튜플(Tuple)
323,"Q24.  프로그램이  실행  중  어떤  원인에  의해서  오작동을  하거나  비정상적으로  종료되는  경우,  그  결과를  초래하는  원인
을  에러  또는  오류라고  한다.  Python에서  이러한  것을  막고자  예외  처리로  사용되는  문법은  무엇인가?",try  ?  except
324,"Q25.  프로그램이  실행  중  어떤  원인에  의해서  오작동을  하거나  비정상적으로  종료되는  경우,  그  결과를  초래하는  원인
을  에러  또는  오류라고  한다.  Java에서  이러한  것을  막고자  예외  처리로  사용되는  문법은  무엇인가?",try  ?  catch
325,Q26.  프로그래밍  중  정수형을  표현할  수  있는  가장  기본  데이터  타입은  무엇인가  ?,int
326,"Q27.  JAVA에서  객체가  어떻게  행동하는지  설명하는  메소드와  객체를  표현하는  변수를  포함하는  객체에  대한  틀을  무엇
이라고  하는가?",클래스(Class)
327,"Q28.  JAVA에서  클래스,  메소드,  생성자,  변수  등  앞에  붙어  기능을  제한하는  예약어는  무엇인가  ?",제한자(Modifier)
328,"Q29.  JAVA에서  패키지,  클래스,  메소드,  변수  이름을  규칙과  관례를  통해  개발자가  임의로  만드는  것을  무엇이라  말하는
가?",식별자(Identifier)
329,Q30.  JAVA에서  상위  클래스의  메소드를  하위  클래스에서  재정의  하여  바꾸는  것을  무엇이라  말하는가?,오버라이딩(Overriding)
330,"Q31.  Python에서  함수나  변수  또는  클래스를  모아  놓은  파일을  불러와  파일안에  있는  것들  것  사용할  수  있다.  이때  사
용되는  파일을  무엇이라  하는가?",모듈(module)
331,Q32  python에서는  여러  모듈을  불러와  사용하게  되는데  어떠한  방법으로  불러  사용하는가  ?,import  모듈
332,Q33  SQL언어  문법  중  데이터베이스나  테이블을  만들  때  사용  되는  문법은  무엇인가  ?,"create  (예:create  database,  create  table)"
333,Q34.  SQL언어  문법  중  데이터베이스  내에  있는  데이터를  조회하기  위한  명령어  문법은  무엇인가?,SELECT  /FROM
334,"Q35  SQL  언어는  크게  2가지로  구분  되는데  DB,테이블을  정의하는  데이터  정의  언어(DDL)가  있다.  데이터를  검색,  수정,
삭제하는  역할인  나머지  하나는  무엇인가?",데이터  조작  언어(DML)
335,Q36.  SQL에서  데이터  베이스  내에  테이블을  삭제하는  명령  문법은  무엇인가?,DROP((DROP  TABLE  테이블  이름)
336,Q37.  SQL에서  데이터  베이스  내에  특정  속성  값을  수정하는  명령  문법은  무엇인가?,UPDATE
337,Q38.  SQL에서  3가지의  집합연산을  사용하게  되는데  어떠한  것들이  있는가  ?,"합집합  UNION,  차집합  EXCEPT,  교집합
INTERSECT"
338,"Q39.  C언어에서  기존의  배열이  동일한  종류의  데이터를  하나로  묶기  위한  것  이라면,  이것은  여러  종류의  자료형을  하
나로  묶을  수  있도록  도와주는  것이다.  이것은  무엇인가  ?",구조체
339,"Q40.  컴퓨터  분야에서  프로그램  연산에  필요한  데이터들을  효과적으로  사용하며  자료를  효율적으로  이용할  수  있도록
저장하는  방법은  무엇인가  ?",자료구조
340,Q41.  JAVA에서  가장  널리  사용하며  add()메서드로  데이터를  추가하는  자료구조  클래스는  무엇인가  ?,ArrayList
341,"Q42.  객체  지향  언어에서  물리적으로  존재하거나  추상적으로  생각할  수  있는  것  중에서  자신의  속성을  가지고  있는  다
른  것과  식별  가능한  것을  무엇이라  하는가  ?",객체(Object)
342,"Q43.  객체지향  언어에서  객체의  고유  데이터,  객체가  가져야  할  부품과  객체의  현재  상태  데이터를  저장하는  곳을  무엇
이라  하는가?",필드(Field)
343,Q44.  변수와  다르게  불변의  값을  말하며  Java에서  final을  사용하는  값은  무엇인가?,상수(constant)  static  final
344,Q45.  프로그래밍  언어에서  함수(블록)  내에서  선언된  변수를  무엇이라  말하는가?,지역변수(Local  Variable)
345,Q46.  프로그래밍  언어에서  함수(블록)  밖에  선언된  변수를  무엇이라  말하는가  ?,전역변수(Global  Variable)
346,"Q47.  세계  최초의  프로그래밍  가능한  완전  전자식  컴퓨터로서  엄청난  숫자의  진공관  부품을  가졌으며  종이  테이프로  입
력을  받고  다양한  종류의  논리  연산이  가능했던  컴퓨터는?",클로서스
347,"Q48.  그래픽  처리  장치(GPU)와  CPU를  함께  이용하여  과학,  분석,  공학,  소비자  및  기업  애플리케이션의  처리속도를  높이
는  것을  말함.",GPU  가속  컴퓨팅
348,"Q49.  1989년  LeCun이  발표한  기법으로,  영상인식에  주로  사용되는  딥러닝  기법이다.  기존의  전통적  물체  분류  알고리즘
보다  10%이상  좋은  성능을  보이면서  이미지  프로세싱의  주류  알고리즘으로  사용되고  있는  신경망은?",CNN  (콘볼루션  신경망)
349,"Q50.  여러  비선형  변환기법의  조합을  통해  높은  수준의  추상화(abstractions,  다량의  데이터나  복잡한  자료들  속에서  핵
심적인  내용  또는  기능을  요약하는  작업)를  시도하는  기계학습(machine  learning)  알고리즘?",딥러닝
